City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,queenstown,-31.8976,26.8753,14.75,49,98,7.13,ZA,1690041087
232,chibougamau,49.9168,-74.3659,16.79,88,100,3.41,CA,1690041087
233,crane,31.3974,-102.3501,29.63,43,100,4.28,US,1690041087
234,bloomington,44.8408,-93.2983,27.04,64,20,3.09,US,1690040908
235,kadugli,11.0167,29.7167,27.42,62,99,4.05,SD,1690040886
236,chipinge,-20.1883,32.6236,14.54,77,42,2.37,ZW,1690041088
237,kankakee,41.15,-87.8667,26.59,64,0,0.0,US,1690041088
238,klaksvik,62.2266,-6.589,13.51,82,17,4.75,FO,1690041088
239,mejit,10.2753,170.8646,27.99,77,94,7.49,MH,1690041088
240,isangel,-19.55,169.2667,19.06,88,75,1.03,VU,1690041088
241,port elizabeth,-33.918,25.5701,15.16,88,0,5.14,ZA,1690041089
242,boguchany,58.3814,97.4531,19.75,54,82,1.48,RU,1690041089
243,touros,-5.1989,-35.4608,28.87,61,16,8.99,BR,1690041089
244,vodice,43.7608,15.7828,33.98,56,0,1.25,HR,1690041089
245,sisimiut,66.9395,-53.6735,6.51,97,100,6.93,GL,1690041089
246,kargopol',61.5071,38.9456,12.41,98,100,4.36,RU,1690041089
247,leninskoye,41.7589,69.3864,30.47,18,0,2.48,KZ,1690041090
248,inhambane,-23.865,35.3833,21.99,68,20,3.13,MZ,1690040999
249,eastbourne,50.7687,0.2845,16.77,85,100,3.13,GB,1690041090
250,tiruchchendur,8.4833,78.1167,28.76,64,94,5.33,IN,1690041090
251,portland,45.5234,-122.6762,22.23,68,20,2.06,US,1690040450
252,carnarvon,-24.8667,113.6333,16.81,34,0,6.54,AU,1690041090
253,butte,39.6499,-121.5677,32.77,46,0,0.0,US,1690041090
254,cartagena,10.3997,-75.5144,31.79,58,20,3.09,CO,1690040921
255,arraial do cabo,-22.9661,-42.0278,22.98,88,75,6.17,BR,1690041091
256,kapuskasing,49.4169,-82.4331,20.05,45,20,1.54,CA,1690041091
257,oamaru,-45.0784,170.9801,9.65,95,100,7.03,NZ,1690041091
258,pandan,14.0453,124.1694,26.75,87,100,3.05,PH,1690041091
259,hermansverk,61.1846,6.8502,19.25,59,75,4.63,NO,1690041091
260,bridgewater,44.3835,-64.5155,21.79,88,100,5.14,CA,1690041092
261,brunsbuttel,53.9,9.15,16.67,85,100,1.34,DE,1690041092
262,mutuali,-14.8706,37.0044,23.2,48,61,3.27,MZ,1690041092
263,hiratacho,35.4333,132.8167,26.01,87,18,1.69,JP,1690041092
264,nuku'alofa,-21.1333,-175.2,21.19,94,75,2.06,TO,1690041092
265,kayangel,8.0823,134.7173,27.93,78,100,4.39,PW,1690041093
266,ribeira brava,32.65,-17.0667,26.51,67,1,1.65,PT,1690041093
267,qui nhon,13.7667,109.2333,27.39,78,100,1.41,VN,1690041093
268,el bordo,2.117,-76.9821,28.66,44,23,1.72,CO,1690041093
269,newman,37.3138,-121.0208,28.46,12,37,2.18,US,1690041093
270,khovd,48.0056,91.6419,19.09,52,43,2.63,MN,1690041093
271,porto novo,6.4965,2.6036,27.16,73,74,5.59,BJ,1690041051
272,nemuro,43.3236,145.575,14.78,96,99,4.75,JP,1690041094
273,east london,-33.0153,27.9116,20.52,52,0,2.06,ZA,1690041094
274,nuriootpa,-34.4833,139.0,7.67,87,100,4.26,AU,1690041094
275,nadi,-17.8,177.4167,19.0,88,20,2.57,FJ,1690041094
276,gaspe,48.8334,-64.4819,23.12,73,100,4.12,CA,1690041094
277,lompoc,34.6391,-120.4579,13.23,100,40,0.0,US,1690041094
278,quang ngai,15.1167,108.8,25.77,87,85,1.62,VN,1690041095
279,westport,41.1415,-73.3579,27.87,57,0,6.69,US,1690041095
280,bukama,-9.2,25.85,30.86,18,84,2.79,CD,1690041095
